Name,Sr_No,Nationality,PD,Gender,Competition,Result,TimePoint_Label,Happy,Sad,Angry,Surprised,Scared,Disgusted,Valence,Arousal,Neutral,Sighted_Blind,Group,Athlete_Code,PD_Code,SB_Code,Result_Code
Natsumi Tsunoda,1,JPN,High,Female,Olympic,Win,Pre,0.005246338219238393,0.2114582682277679,0.01053652285730446,0.003861669377054464,0.01888300920655358,0.009449393489696428,-0.210764770411875,0.2302208869107143,0.5185142730714285,Sighted,High PD – Sighted,424,1,0,1
Baasankhuu Bavuudorj,2,MGL,High,Female,Olympic,Loss,Pre,0.1483565471687273,0.05628734565854545,0.01371318874145455,0.03153254091863637,0.05510667211363637,0.002399937003800001,0.05452865813163636,0.3214114269090909,0.542003479,Sighted,High PD – Sighted,79,1,0,0
Shirine Boukli,3,FRA,High,Female,Olympic,Win,Pre,0.00136171503581962,0.04771135762746836,0.03135365431240505,0.0005813530796486075,0.002913762568073798,0.001450469611937974,-0.05464844196202532,0.2775340245569621,0.6993552878481012,Sighted,High PD – Sighted,523,1,0,1
Tara Babulfath,4,SWE,Low,Female,Olympic,Win,Pre,0.009366356482308732,0.0957018847201587,0.07112999168740478,0.03197599340328492,0.002182744801904762,0.01416513220897143,-0.1078752258526984,0.2847750780952381,0.6576986881746032,Sighted,Low PD – Sighted,548,0,0,1
Laura Martinez Abelenda,5,ESP,High,Female,Olympic,Loss,Pre,0.02403451530812773,0.03210929066425178,0.01987965868607574,0.01006251023283069,0.00234700653560495,0.02626760636517747,-0.0392496050380198,0.2766074677227722,0.8290130221782179,Sighted,High PD – Sighted,315,1,0,0
Abiba Abuzhakynova,6,KAZ,High,Female,Olympic,Loss,Pre,0.0008745986070833332,0.06290385363280952,0.2243597997794445,0.002343118758625555,0.05428910130328572,0.01135849713147619,-0.267711130081746,0.4722769843650794,0.5391639698730158,Sighted,High PD – Sighted,4,1,0,0
Diyora Keldiyorova,7,UZB,High,Female,Olympic,Win,Pre,0.0002268717276657333,0.2806878331129333,0.3105385476666667,1.986416098347414e-05,0.0006404890463293333,0.007100077642773332,-0.4124306309333333,0.4814519056,0.25146742084,Sighted,High PD – Sighted,143,1,0,1
Distria Krasniqi,8,KOS,High,Female,Olympic,Loss,Pre,0.008051154644636365,0.03678820330606061,0.01167391204780303,0.007727620916575757,0.007023087283827272,0.04273575878542424,-0.05948225360303031,0.2591918457575758,0.7622991327272729,Sighted,High PD – Sighted,142,1,0,0
Larissa Pimenta,9,BRA,High,Female,Olympic,Win,Pre,0.000348362607,0.05080532927777778,0.06555538176666667,0.0007559321555555556,0.003380898333333333,0.0088926948,-0.06862086322222222,0.3990267511111111,0.79037996,Sighted,High PD – Sighted,311,1,0,1
Amandine Buchard,10,FRA,High,Female,Olympic,Win,Pre,0.02380466137998507,0.07120764396268658,0.07831393968358208,0.01975719724410448,0.03013202162208955,0.02553862801149254,-0.1097851097537313,0.3351661501492537,0.6085943719402984,Sighted,High PD – Sighted,33,1,0,1
Odette Giuffrida,11,ITA,Low,Female,Olympic,Loss,Pre,0.0009241243025217393,0.01610321860695652,0.002067145444347826,0.0006409347043913044,0.0002637987384652174,0.001049358322252174,-0.01519629358652174,0.2548065895652175,0.9617228934782607,Sighted,Low PD – Sighted,436,0,0,0
Reka Pupp,12,HUN,Low,Female,Olympic,Loss,Pre,6.788389657930232e-05,0.04561999560232557,0.5346618385023255,0.0001998684190111628,8.505706522164652e-05,0.01246430901744186,-0.5391918283255814,0.6690978339534883,0.2824288145813953,Sighted,Low PD – Sighted,478,0,0,0
Christa Deguchi,13,CAN,Low,Female,Olympic,Win,Pre,0.00454798276724018,0.1553431301559866,0.03154000877684095,0.04758732155063555,0.04875945690425592,0.007134626617223851,-0.2033522289055118,0.3369739582755906,0.408219499488189,Sighted,Low PD – Sighted,108,0,0,1
Mimi Huh,14,KOR,High,Female,Olympic,Loss,Pre,0.004104013335243209,0.08003959786851852,0.02628891966824074,0.0001989402607224074,0.08817305246347532,0.04913401966635753,-0.1725189474037037,0.286258882,0.4207528951234568,Sighted,High PD – Sighted,395,1,0,0
Haruka Funakubo,15,JPN,High,Female,Olympic,Win,Pre,0.005532511301810001,0.4945128705486849,0.03045568086405,0.04741198076185001,0.02136003936045,0.00976406801071,-0.505370390075,0.17785756319,0.30255493878,Sighted,High PD – Sighted,221,1,0,1
