,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,P(>0),P(<0)
beta_PD[Happy],-0.0652,0.0258,-0.107,-0.0116,0.0013,0.0007,413.0513,491.2993,1.01,0.006,0.994
beta_PD[Sad],0.0431,0.0168,0.0146,0.0791,0.0007,0.0005,572.3351,420.5443,1.0022,0.999,0.001
beta_PD[Angry],0.0353,0.0157,0.0063,0.0631,0.0006,0.0004,681.1153,682.658,0.999,0.989,0.011
beta_PD[Surprised],-0.008,0.0042,-0.0159,0.0005,0.0002,0.0001,519.5794,504.529,1.0052,0.031,0.969
beta_PD[Scared],0.0056,0.0038,-0.0011,0.0132,0.0002,0.0001,459.4637,655.7765,1.0075,0.94,0.06
beta_PD[Disgusted],0.0136,0.0081,-0.0008,0.0291,0.0004,0.0002,528.4594,662.8926,1.0044,0.956,0.044
beta_PD[Valence],-0.1344,0.0352,-0.2005,-0.067,0.0019,0.0011,354.7103,426.9699,1.0062,0.0,1.0
beta_PD[Arousal],-0.0142,0.0159,-0.0428,0.0174,0.0007,0.0005,535.6465,539.2912,1.0036,0.185,0.815
beta_SB[Happy],0.0193,0.0265,-0.0317,0.0672,0.0015,0.001,321.8549,417.5665,1.0123,0.786,0.214
beta_SB[Sad],-0.0193,0.016,-0.0527,0.008,0.0007,0.0004,498.169,690.4355,0.9997,0.112,0.888
beta_SB[Angry],-0.0023,0.0154,-0.0339,0.0231,0.0006,0.0005,604.478,688.7122,0.9983,0.468,0.532
beta_SB[Surprised],-0.0122,0.0044,-0.0207,-0.0042,0.0002,0.0002,432.9884,550.9018,1.0047,0.004,0.996
beta_SB[Scared],-0.0045,0.0037,-0.0111,0.0027,0.0002,0.0001,362.0086,497.0,1.0154,0.115,0.885
beta_SB[Disgusted],0.0045,0.0081,-0.0092,0.0207,0.0004,0.0002,524.4715,551.3514,1.0011,0.716,0.284
beta_SB[Valence],0.0373,0.0363,-0.0388,0.0981,0.002,0.0015,316.3072,496.976,1.0119,0.852,0.148
beta_SB[Arousal],0.0327,0.0154,0.0054,0.0621,0.0007,0.0005,454.6574,676.1678,1.0073,0.991,0.009
beta_PD_SB[Happy],-0.0137,0.0381,-0.0845,0.0575,0.002,0.0013,368.8451,315.9719,1.0105,0.351,0.649
beta_PD_SB[Sad],-0.014,0.0245,-0.0581,0.0336,0.0011,0.0008,456.5188,411.3279,1.0058,0.279,0.721
beta_PD_SB[Angry],-0.0133,0.0225,-0.0569,0.0279,0.0009,0.0006,625.5728,610.0429,0.9989,0.274,0.726
beta_PD_SB[Surprised],0.005,0.0061,-0.0058,0.0165,0.0003,0.0002,462.0227,463.8782,1.0071,0.795,0.205
beta_PD_SB[Scared],-0.0053,0.0053,-0.0149,0.0043,0.0003,0.0002,356.2514,429.3059,1.0122,0.149,0.851
beta_PD_SB[Disgusted],-0.0093,0.0118,-0.0317,0.0129,0.0005,0.0004,600.7985,717.6245,1.0017,0.215,0.785
beta_PD_SB[Valence],0.0109,0.0521,-0.0829,0.1016,0.0028,0.0024,342.9801,333.1208,1.0159,0.59,0.41
beta_PD_SB[Arousal],-0.0053,0.0222,-0.0513,0.0315,0.001,0.0007,453.472,637.1479,1.0125,0.405,0.595
